company_name,display_name,year,round,google_drive_link
100Plus,100Plus - 2021 - Series A,2021,Series A,https://drive.google.com/file/d/1f63czGe556v3OD6xp3R9t7PCcvp9RXLJ/view
1906,1906 - 2019 - Series A,2019,Series A,https://drive.google.com/file/d/1y2pnBSwiYPIgDXAnY4gNSBdpgf0a2RId/view
1Huddle,1Huddle - 2015 - Pre-Seed,2015,Pre-Seed,https://drive.google.com/file/d/10sngLrhK5_XRd4qTb27Nf8uCMJlRVBFh/view
43 layers,43 layers - 2015 - Seed,2015,Seed,https://drive.google.com/file/d/1-CeB66W2pLbe9yPINygfWTBoFva9VW1K/view
7bridges,7bridges - 2020 - Seed,2020,Seed,https://drive.google.com/file/d/16gWRkcA6IpGkj9tT34p15hV5uTNcIaR-/view
98point6,98point6 - 2023 - Series E,2023,Series E,https://drive.google.com/file/d/1ri8H5LUIl0r5RkgJj-1Lo9fT79d9DsSP/view
AbbeyPost,AbbeyPost - 2014 - Seed,2014,Seed,https://drive.google.com/file/d/1TLI6N8pitpnSLnUpd0u5qSru1vUy9Y2K/view
AceUp,AceUp - 2019 - Seed,2019,Seed,https://drive.google.com/file/d/1w9u76suuls1xtNkvdzlt3wS-9DZGwsGE/view
ActivityHero,ActivityHero - 2014 - Seed,2014,Seed,https://drive.google.com/file/d/1-S0w8if1qb_EhBnyu_j6SFT2B8Kd6e1H/view
Adpushup,Adpushup - 2014,2014,,https://drive.google.com/file/d/19_H5nkKEDIH03RNUi78tTZrb1EqMqatM/view
Adventure Bucket List,Adventure Bucket List - 2017 - Seed,2017,Seed,https://drive.google.com/file/d/1qNdwjkzyP8sVwVuKJPsqDtIX0IuhzfJt/view
AfterSale (formerly Send4),AfterSale (formerly Send4) - 2017,2017,,https://drive.google.com/file/d/1-6GFdh2P9oilS_RZIDSJ1Uji0WKKQ4GX/view
Agfunder,Agfunder - 2017 - Seed,2017,Seed,https://drive.google.com/file/d/1nWmZbq7CaNHfLWCur7fFCnn-lIO2YqPt/view
AI Rudder,AI Rudder - 2022 - Series B,2022,Series B,https://drive.google.com/file/d/1-cursXi53rhsx_HOXORE47FSosBRgdxe/view
AirBnB,AirBnB - 2008 - Pre-Seed,2008,Pre-Seed,https://drive.google.com/file/d/1zAjdENprfnMIkqIDfOdJeISwnqpRsvUq/view
Aircall,Aircall - 2020 - Series C,2020,Series C,https://drive.google.com/file/d/1Y05iS7Qh6aUozJm0iDQQp46lLhwDndJc/view
AirHub,AirHub - 2018 - Pre-Seed,2018,Pre-Seed,https://drive.google.com/file/d/1yGd97bfe7o4rv9m4m8LpEnwm-4FLAsGe/view
Aisera,Aisera - 2022 - Series D,2022,Series D,https://drive.google.com/file/d/18D8nes1zlzWjLy4ySzIbSqX1Qf5GMChS/view
Alan,Alan - 2020 - Series C,2020,Series C,https://drive.google.com/file/d/1Ua5n3k8-60axhw7iPLxqBErip8Y9z0OM/view
Alation,Alation - 2022 - Series E,2022,Series E,https://drive.google.com/file/d/1il_BxWojY3Y5hSG-tnL5F-5H2p3ACZz1/view
Alba,Alba - 2019 - Series A,2019,Series A,https://drive.google.com/file/d/1QZHAl7s_Vy7Az6Gl07_H9JlY7QkG_7AC/view
Albert,Albert - 2015 - Pre-Seed,2015,Pre-Seed,https://drive.google.com/file/d/1JSyy__tRQAGs0L2f-zn5R2Zl9JgZL6Az/view
AlfredCamera,AlfredCamera - 2015 - Seed,2015,Seed,https://drive.google.com/file/d/1bad4O_xNcwxvvoJBxHu9yhfcatUWcNI5/view
Alloy,Alloy - 2021 - Seed,2021,Seed,https://drive.google.com/file/d/1vQnkZHoy-bWmUmnhVXbnHLyeaYyvrR0R/view
